epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,823.069,0.69022,0.79101,1.35397,0.92916,0.95695,0.99333,0.89856,0.51327,0.50023,1.30589,0.000134861,0.000134861,0.000134861
43,840.896,0.66019,0.76931,1.33824,0.91539,0.97674,0.98849,0.89419,0.51104,0.49399,1.33949,0.000132613,0.000132613,0.000132613
44,859.751,0.674,0.77816,1.33676,0.94864,0.9616,0.99399,0.89303,0.50322,0.49405,1.24165,0.000130366,0.000130366,0.000130366
45,880.266,0.68102,0.78446,1.34258,0.92741,0.97413,0.99399,0.90331,0.496,0.48192,1.32883,0.000128119,0.000128119,0.000128119
46,899.831,0.65559,0.76578,1.32298,0.93179,0.97608,0.99443,0.90151,0.48028,0.47431,1.32314,0.000125871,0.000125871,0.000125871
47,918.863,0.65956,0.75357,1.34373,0.9441,0.97317,0.99443,0.91069,0.48623,0.45904,1.26276,0.000123624,0.000123624,0.000123624
48,940.861,0.65709,0.75079,1.34091,0.94783,0.96287,0.99401,0.91199,0.48459,0.46199,1.33797,0.000121377,0.000121377,0.000121377
49,959.818,0.65573,0.75189,1.33692,0.92717,0.94273,0.99294,0.90594,0.48397,0.47355,1.29748,0.00011913,0.00011913,0.00011913
50,978.805,0.66648,0.75886,1.32984,0.93616,0.94875,0.99467,0.88269,0.48613,0.47242,1.3083,0.000116882,0.000116882,0.000116882
51,997.057,0.65746,0.73995,1.32262,0.92832,0.97279,0.99456,0.90276,0.47161,0.46384,1.28764,0.000114635,0.000114635,0.000114635
52,1014.32,0.64884,0.73527,1.32349,0.93265,0.96975,0.99413,0.91659,0.47613,0.46066,1.33173,0.000112388,0.000112388,0.000112388
53,1031.09,0.66125,0.73859,1.34481,0.93709,0.97425,0.995,0.90559,0.48055,0.45493,1.35824,0.00011014,0.00011014,0.00011014
54,1051.92,0.63873,0.716,1.32053,0.92149,0.9704,0.995,0.9043,0.47322,0.44533,1.31708,0.000107893,0.000107893,0.000107893
55,1072.1,0.64323,0.72986,1.3193,0.93774,0.97343,0.99358,0.92001,0.45799,0.44467,1.28005,0.000105646,0.000105646,0.000105646
56,1091.23,0.62915,0.71899,1.32366,0.92583,0.97276,0.99372,0.91625,0.4645,0.44293,1.26724,0.000103398,0.000103398,0.000103398
57,1109.69,0.64958,0.72566,1.34347,0.90132,0.98773,0.9936,0.91042,0.47269,0.44236,1.24198,0.000101151,0.000101151,0.000101151
58,1127.79,0.63939,0.72301,1.32457,0.94525,0.96618,0.99373,0.91203,0.45948,0.44274,1.27987,9.89039e-05,9.89039e-05,9.89039e-05
59,1146.83,0.63056,0.70161,1.32191,0.93721,0.97857,0.995,0.91088,0.46455,0.42998,1.28718,9.66566e-05,9.66566e-05,9.66566e-05
60,1167.4,0.62917,0.69567,1.30951,0.94531,0.97493,0.99443,0.91365,0.45749,0.44105,1.23585,9.44093e-05,9.44093e-05,9.44093e-05
61,1187.88,0.63765,0.70546,1.31971,0.93106,0.97553,0.995,0.91172,0.45641,0.43229,1.2284,9.2162e-05,9.2162e-05,9.2162e-05
62,1206.63,0.63464,0.68725,1.30713,0.94507,0.94848,0.9931,0.90435,0.47357,0.44526,1.25825,8.99147e-05,8.99147e-05,8.99147e-05
63,1226.24,0.62784,0.68639,1.30434,0.93518,0.98384,0.99443,0.9175,0.46469,0.44661,1.26869,8.76674e-05,8.76674e-05,8.76674e-05
64,1244.42,0.64264,0.70303,1.31228,0.94515,0.97044,0.995,0.9221,0.46219,0.43132,1.25811,8.54201e-05,8.54201e-05,8.54201e-05
65,1262.89,0.62252,0.68255,1.33008,0.94527,0.97375,0.99467,0.90965,0.45778,0.4343,1.23754,8.31728e-05,8.31728e-05,8.31728e-05
66,1283.5,0.63275,0.67932,1.30615,0.95151,0.97328,0.99467,0.91241,0.46017,0.43163,1.31299,8.09255e-05,8.09255e-05,8.09255e-05
67,1304.14,0.61786,0.68479,1.29472,0.94221,0.98641,0.995,0.91964,0.44504,0.42003,1.26814,7.86782e-05,7.86782e-05,7.86782e-05
68,1324,0.62084,0.69065,1.33505,0.93127,0.98472,0.99443,0.91807,0.44809,0.42303,1.29771,7.64309e-05,7.64309e-05,7.64309e-05
69,1341.99,0.61273,0.66551,1.30203,0.93613,0.98852,0.995,0.91322,0.45403,0.42744,1.32732,7.41836e-05,7.41836e-05,7.41836e-05
70,1360.58,0.62033,0.66992,1.31479,0.9333,0.98151,0.995,0.91571,0.44963,0.42027,1.26481,7.19363e-05,7.19363e-05,7.19363e-05
71,1378.35,0.62511,0.68637,1.31574,0.94696,0.97303,0.99467,0.91559,0.4537,0.42644,1.29589,6.9689e-05,6.9689e-05,6.9689e-05
72,1396.21,0.60724,0.66871,1.28906,0.94168,0.97619,0.99307,0.91583,0.44388,0.4238,1.22446,6.74417e-05,6.74417e-05,6.74417e-05
73,1416.06,0.61408,0.65401,1.28308,0.94458,0.97605,0.995,0.91651,0.44923,0.42282,1.27967,6.51944e-05,6.51944e-05,6.51944e-05
74,1435.73,0.60492,0.66381,1.29905,0.93689,0.97715,0.9934,0.92175,0.44864,0.41722,1.26078,6.29471e-05,6.29471e-05,6.29471e-05
