epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.2635,1.02594,4.63436,2.07355,0.44377,0.23744,0.25446,0.21661,0.74615,2.90783,1.8402,7.53081e-05,7.53081e-05,7.53081e-05
2,54.8214,0.8801,2.75406,1.77433,0.43742,0.72894,0.6867,0.58077,0.70241,1.41279,1.73169,0.00014948,0.00014948,0.00014948
3,80.9425,0.84418,1.93901,1.74636,0.6504,0.79629,0.83948,0.72651,0.66852,1.06745,1.61764,0.000222154,0.000222154,0.000222154
4,107.344,0.77746,1.46942,1.67803,0.81627,0.91955,0.95275,0.83122,0.63649,0.75111,1.98516,0.000220258,0.000220258,0.000220258
5,133.792,0.74678,1.21458,1.6536,0.81026,0.91494,0.9566,0.84649,0.5972,0.69008,1.64856,0.000218011,0.000218011,0.000218011
6,160.087,0.73149,1.07205,1.65318,0.89506,0.92505,0.98539,0.88146,0.59119,0.60162,1.54358,0.000215763,0.000215763,0.000215763
7,186.857,0.70198,0.96684,1.60252,0.91277,0.94019,0.99261,0.89784,0.59315,0.5498,1.82927,0.000213516,0.000213516,0.000213516
8,213.035,0.70448,0.9274,1.62306,0.93065,0.95004,0.97843,0.87773,0.56948,0.55071,1.88956,0.000211269,0.000211269,0.000211269
9,240.528,0.69579,0.86499,1.56094,0.9374,0.97893,0.99376,0.89278,0.56108,0.47473,1.54358,0.000209022,0.000209022,0.000209022
10,266.579,0.68516,0.83476,1.57059,0.94782,0.95122,0.99309,0.90108,0.55254,0.48542,1.87024,0.000206774,0.000206774,0.000206774
11,293.09,0.67077,0.78534,1.54643,0.91564,0.9782,0.99445,0.89415,0.57372,0.48591,1.61425,0.000204527,0.000204527,0.000204527
12,320.781,0.66112,0.75981,1.58893,0.94491,0.96108,0.99065,0.88935,0.583,0.45566,1.78847,0.00020228,0.00020228,0.00020228
13,347.934,0.66442,0.74042,1.56087,0.94953,0.98456,0.99473,0.90074,0.53511,0.41556,1.57203,0.000200032,0.000200032,0.000200032
14,373.922,0.66525,0.72886,1.56991,0.93923,0.98862,0.995,0.90223,0.54081,0.4413,1.87199,0.000197785,0.000197785,0.000197785
15,399.642,0.64687,0.71365,1.56148,0.95642,0.9518,0.99473,0.89821,0.55883,0.43045,1.76837,0.000195538,0.000195538,0.000195538
16,425.491,0.64528,0.69273,1.54037,0.9496,0.97445,0.99443,0.90934,0.58529,0.46433,1.81887,0.00019329,0.00019329,0.00019329
17,451.408,0.64388,0.6844,1.51689,0.94601,0.97771,0.995,0.90225,0.53781,0.41956,1.74346,0.000191043,0.000191043,0.000191043
18,477.276,0.63897,0.67092,1.55823,0.94742,0.98181,0.995,0.91141,0.50994,0.40633,1.63296,0.000188796,0.000188796,0.000188796
19,503.663,0.62413,0.65719,1.53646,0.93509,0.99998,0.995,0.90093,0.51548,0.39997,1.76082,0.000186549,0.000186549,0.000186549
20,529.951,0.60671,0.64367,1.52972,0.95509,0.966,0.995,0.9133,0.5132,0.38403,1.85176,0.000184301,0.000184301,0.000184301
21,556.083,0.60938,0.62407,1.49682,0.95133,0.98406,0.995,0.91764,0.5035,0.38962,2.06507,0.000182054,0.000182054,0.000182054
22,583.061,0.61057,0.62195,1.51766,0.95994,0.97732,0.9925,0.91711,0.52739,0.40605,1.5113,0.000179807,0.000179807,0.000179807
23,609.548,0.59484,0.61265,1.48674,0.95603,0.97365,0.995,0.91457,0.49591,0.38132,1.74002,0.000177559,0.000177559,0.000177559
24,635.726,0.59785,0.61459,1.4797,0.95236,0.98764,0.995,0.91828,0.48935,0.39771,1.43393,0.000175312,0.000175312,0.000175312
25,662.025,0.58907,0.59358,1.45851,0.95229,0.98582,0.995,0.91804,0.48438,0.38061,1.93808,0.000173065,0.000173065,0.000173065
26,687.594,0.5938,0.5985,1.49886,0.95733,0.98733,0.995,0.91841,0.47921,0.36468,1.88094,0.000170817,0.000170817,0.000170817
27,714.345,0.581,0.5778,1.49305,0.95039,0.98248,0.995,0.92377,0.50856,0.38214,1.69001,0.00016857,0.00016857,0.00016857
28,740.544,0.56856,0.59142,1.48349,0.96209,0.9717,0.9925,0.91872,0.48174,0.36986,1.84709,0.000166323,0.000166323,0.000166323
29,766.09,0.58131,0.57807,1.47916,0.95486,0.98466,0.995,0.91561,0.50027,0.37767,1.93594,0.000164076,0.000164076,0.000164076
30,791.75,0.56868,0.55455,1.46035,0.94211,0.97447,0.99135,0.92269,0.4993,0.38448,1.63903,0.000161828,0.000161828,0.000161828
31,817.73,0.57762,0.57382,1.49129,0.96053,0.97122,0.99318,0.92904,0.47701,0.37943,1.39549,0.000159581,0.000159581,0.000159581
32,844.228,0.57651,0.54899,1.50127,0.96326,0.97924,0.99375,0.92415,0.49719,0.36512,1.59511,0.000157334,0.000157334,0.000157334
33,870.716,0.58035,0.5705,1.45691,0.94645,0.9903,0.99375,0.92209,0.48558,0.39481,1.40707,0.000155086,0.000155086,0.000155086
34,897.095,0.55613,0.53794,1.46434,0.93711,0.99312,0.995,0.91998,0.48663,0.37861,1.47191,0.000152839,0.000152839,0.000152839
35,923.173,0.55877,0.54106,1.44765,0.95572,0.9919,0.995,0.92414,0.46296,0.35984,1.89602,0.000150592,0.000150592,0.000150592
36,950.128,0.56207,0.54739,1.46975,0.96894,0.98546,0.995,0.9294,0.4839,0.35471,1.53949,0.000148344,0.000148344,0.000148344
37,976.842,0.5596,0.53991,1.45343,0.95879,0.98551,0.99294,0.93177,0.42761,0.34008,1.86853,0.000146097,0.000146097,0.000146097
38,1003.34,0.53748,0.51897,1.43064,0.95856,0.98754,0.995,0.92958,0.46639,0.3416,1.55846,0.00014385,0.00014385,0.00014385
39,1029.12,0.5505,0.53285,1.45138,0.96235,0.99182,0.995,0.93228,0.45211,0.34946,1.71209,0.000141603,0.000141603,0.000141603
40,1055.77,0.54127,0.52787,1.45916,0.9603,0.99354,0.995,0.93488,0.41799,0.3177,1.32829,0.000139355,0.000139355,0.000139355
41,1083,0.54419,0.50416,1.43364,0.96065,0.9899,0.995,0.92868,0.44367,0.32446,1.53655,0.000137108,0.000137108,0.000137108
42,1109.02,0.53882,0.51053,1.43481,0.96081,0.98761,0.995,0.9284,0.45096,0.33882,1.36077,0.000134861,0.000134861,0.000134861
43,1134.43,0.52039,0.50002,1.41719,0.96415,0.99948,0.995,0.92928,0.43981,0.337,1.40476,0.000132613,0.000132613,0.000132613
44,1160.15,0.53769,0.49573,1.42983,0.95641,0.9857,0.995,0.93549,0.42348,0.32264,1.34171,0.000130366,0.000130366,0.000130366
45,1186.67,0.54322,0.51921,1.45255,0.95828,0.98695,0.995,0.93769,0.42865,0.33752,1.35993,0.000128119,0.000128119,0.000128119
46,1212.6,0.51569,0.49479,1.43209,0.96054,0.99947,0.995,0.93781,0.45097,0.34186,1.61078,0.000125871,0.000125871,0.000125871
47,1239.06,0.52068,0.48816,1.42384,0.9629,0.99671,0.995,0.93339,0.42827,0.34211,1.3318,0.000123624,0.000123624,0.000123624
48,1265.57,0.52138,0.48367,1.42165,0.96385,0.99217,0.995,0.932,0.42809,0.3177,1.33723,0.000121377,0.000121377,0.000121377
49,1291.71,0.50886,0.48859,1.40974,0.96324,0.98259,0.995,0.93234,0.41961,0.31923,1.29753,0.00011913,0.00011913,0.00011913
50,1318.75,0.52736,0.49113,1.40025,0.96516,0.99789,0.995,0.9404,0.41235,0.30506,1.30669,0.000116882,0.000116882,0.000116882
51,1345.02,0.51323,0.46923,1.3768,0.96008,0.9944,0.995,0.9355,0.43611,0.33505,1.46239,0.000114635,0.000114635,0.000114635
52,1371.69,0.50686,0.47317,1.40206,0.96394,0.99619,0.995,0.93846,0.44639,0.32796,1.72365,0.000112388,0.000112388,0.000112388
53,1397.08,0.52017,0.48121,1.42292,0.95385,0.99543,0.995,0.93321,0.44234,0.33574,1.50018,0.00011014,0.00011014,0.00011014
54,1423.74,0.49674,0.45597,1.37868,0.96826,0.99467,0.995,0.94041,0.42917,0.32956,1.37639,0.000107893,0.000107893,0.000107893
55,1450.32,0.49372,0.47052,1.4037,0.97075,0.98901,0.995,0.93662,0.44515,0.3377,1.53355,0.000105646,0.000105646,0.000105646
56,1476.39,0.48709,0.46273,1.38788,0.96837,0.98752,0.99375,0.93665,0.422,0.31937,1.73566,0.000103398,0.000103398,0.000103398
57,1501.82,0.50962,0.46124,1.40676,0.96565,0.9859,0.99375,0.94179,0.4322,0.32872,1.5038,0.000101151,0.000101151,0.000101151
58,1527.93,0.49655,0.46482,1.38506,0.95663,0.99691,0.995,0.93358,0.44474,0.35792,1.42542,9.89039e-05,9.89039e-05,9.89039e-05
59,1553.77,0.49595,0.46065,1.38859,0.96534,0.99001,0.99375,0.93381,0.42761,0.33831,1.57674,9.66566e-05,9.66566e-05,9.66566e-05
60,1579.91,0.49046,0.45328,1.37999,0.96833,0.99622,0.995,0.94349,0.39487,0.30049,1.31925,9.44093e-05,9.44093e-05,9.44093e-05
61,1606.32,0.49104,0.46016,1.36164,0.96666,0.98495,0.995,0.93807,0.4126,0.31592,1.341,9.2162e-05,9.2162e-05,9.2162e-05
62,1632.61,0.48848,0.4445,1.3841,0.9668,0.99815,0.995,0.93578,0.43903,0.32173,1.38848,8.99147e-05,8.99147e-05,8.99147e-05
63,1659.32,0.48238,0.44215,1.36147,0.97259,0.99118,0.995,0.94146,0.40885,0.31254,1.35798,8.76674e-05,8.76674e-05,8.76674e-05
64,1686.48,0.48956,0.45089,1.38981,0.96955,0.991,0.99422,0.94353,0.38706,0.28897,1.31052,8.54201e-05,8.54201e-05,8.54201e-05
65,1712.75,0.48429,0.45633,1.38734,0.96436,0.99209,0.995,0.93549,0.39529,0.29019,1.34635,8.31728e-05,8.31728e-05,8.31728e-05
66,1738.71,0.48849,0.44532,1.37311,0.96551,0.99352,0.995,0.94084,0.38996,0.29491,1.38238,8.09255e-05,8.09255e-05,8.09255e-05
67,1764.32,0.47053,0.43414,1.35984,0.96579,0.99627,0.995,0.94145,0.42182,0.33298,1.34535,7.86782e-05,7.86782e-05,7.86782e-05
68,1791.26,0.46819,0.44097,1.37467,0.966,0.99608,0.995,0.94481,0.41347,0.32914,1.38298,7.64309e-05,7.64309e-05,7.64309e-05
69,1817.32,0.46347,0.42491,1.35777,0.96207,0.99696,0.99375,0.94015,0.3929,0.29082,1.36431,7.41836e-05,7.41836e-05,7.41836e-05
70,1842.73,0.47228,0.42956,1.38487,0.96998,0.9953,0.995,0.94538,0.39055,0.29642,1.33329,7.19363e-05,7.19363e-05,7.19363e-05
71,1868.71,0.47118,0.43078,1.37699,0.97134,0.99908,0.995,0.94157,0.42449,0.31947,1.60254,6.9689e-05,6.9689e-05,6.9689e-05
72,1894.45,0.45317,0.41854,1.33855,0.9703,0.9946,0.995,0.94708,0.40158,0.30589,1.33237,6.74417e-05,6.74417e-05,6.74417e-05
73,1920.83,0.46835,0.42225,1.35138,0.96942,0.99587,0.995,0.94046,0.42327,0.3384,1.41489,6.51944e-05,6.51944e-05,6.51944e-05
74,1947.09,0.46163,0.42144,1.36609,0.97147,0.9982,0.995,0.94675,0.40151,0.31421,1.37263,6.29471e-05,6.29471e-05,6.29471e-05
75,1972.96,0.45953,0.41979,1.35173,0.97616,0.99412,0.995,0.94769,0.38039,0.29586,1.33072,6.06998e-05,6.06998e-05,6.06998e-05
76,1999.19,0.45644,0.42899,1.33219,0.97607,0.99807,0.995,0.94218,0.39243,0.30489,1.30596,5.84525e-05,5.84525e-05,5.84525e-05
77,2026.13,0.46449,0.42381,1.37058,0.97046,0.993,0.995,0.94478,0.41877,0.32695,1.42671,5.62052e-05,5.62052e-05,5.62052e-05
78,2053.04,0.46154,0.41078,1.35291,0.97634,0.99202,0.995,0.94418,0.3839,0.27969,1.23362,5.39579e-05,5.39579e-05,5.39579e-05
79,2079.1,0.44924,0.40863,1.33219,0.97849,0.99638,0.995,0.94523,0.39493,0.31241,1.2171,5.17106e-05,5.17106e-05,5.17106e-05
80,2104.98,0.45544,0.41476,1.35692,0.9769,0.99533,0.995,0.94449,0.42403,0.31776,1.35767,4.94633e-05,4.94633e-05,4.94633e-05
81,2130.74,0.45871,0.41763,1.34547,0.97178,0.9952,0.995,0.94202,0.39148,0.29449,1.25692,4.7216e-05,4.7216e-05,4.7216e-05
82,2158.26,0.44488,0.40321,1.34588,0.97507,0.98675,0.995,0.9511,0.40466,0.32173,1.32035,4.49687e-05,4.49687e-05,4.49687e-05
83,2184.26,0.45782,0.41165,1.35091,0.97232,0.99462,0.995,0.94917,0.39662,0.31103,1.28797,4.27214e-05,4.27214e-05,4.27214e-05
84,2209.98,0.44672,0.40207,1.33915,0.97089,0.99814,0.995,0.94525,0.42249,0.33177,1.33269,4.04741e-05,4.04741e-05,4.04741e-05
85,2235.68,0.45431,0.41396,1.36287,0.97435,0.99107,0.995,0.94794,0.39359,0.30413,1.34337,3.82268e-05,3.82268e-05,3.82268e-05
86,2261.66,0.44247,0.4007,1.35065,0.97488,0.98885,0.995,0.94891,0.4162,0.32913,1.32833,3.59795e-05,3.59795e-05,3.59795e-05
87,2288.11,0.44969,0.40469,1.34883,0.96932,0.98905,0.995,0.95198,0.37986,0.27749,1.28463,3.37322e-05,3.37322e-05,3.37322e-05
88,2314.79,0.44202,0.4006,1.3238,0.97141,0.99753,0.995,0.94932,0.4053,0.32357,1.31948,3.14849e-05,3.14849e-05,3.14849e-05
89,2340.63,0.42691,0.38609,1.30358,0.97107,0.99731,0.995,0.94904,0.37927,0.2745,1.29818,2.92376e-05,2.92376e-05,2.92376e-05
90,2366.76,0.44037,0.3995,1.31803,0.97683,0.99518,0.995,0.94846,0.39234,0.29571,1.35908,2.69903e-05,2.69903e-05,2.69903e-05
91,2405.35,0.36949,0.28158,1.07581,0.96949,0.99619,0.995,0.94861,0.37535,0.27463,1.27975,2.4743e-05,2.4743e-05,2.4743e-05
92,2431.65,0.36261,0.28354,1.06403,0.97207,0.98882,0.995,0.94591,0.38234,0.28446,1.29973,2.24957e-05,2.24957e-05,2.24957e-05
93,2457.67,0.35675,0.27703,1.07114,0.97603,0.99356,0.995,0.95038,0.38677,0.28981,1.26384,2.02484e-05,2.02484e-05,2.02484e-05
94,2483.52,0.35683,0.27709,1.0693,0.97445,0.99125,0.995,0.94788,0.37945,0.28014,1.2632,1.80011e-05,1.80011e-05,1.80011e-05
95,2510.5,0.35596,0.27846,1.06545,0.97328,0.99257,0.995,0.94534,0.41108,0.32468,1.34849,1.57538e-05,1.57538e-05,1.57538e-05
96,2536.25,0.35762,0.27744,1.06851,0.97681,0.99179,0.995,0.95005,0.4108,0.31801,1.31637,1.35065e-05,1.35065e-05,1.35065e-05
97,2562.01,0.34324,0.27211,1.06271,0.97639,0.9934,0.995,0.94931,0.40259,0.317,1.28513,1.12592e-05,1.12592e-05,1.12592e-05
