epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.2752,1.26585,6.7855,2.47454,0.62463,0.12271,0.11496,0.0969,0.86097,3.46276,2.29458,7.53081e-05,7.53081e-05,7.53081e-05
2,57.6735,0.94148,4.78386,2.10311,0.44446,0.46619,0.37633,0.30923,0.87744,2.39874,2.10988,0.00014948,0.00014948,0.00014948
3,84.4834,0.96034,3.66357,2.0852,0.35576,0.65446,0.52263,0.42766,0.84906,1.80416,2.15952,0.000222154,0.000222154,0.000222154
4,111.703,0.92433,2.90045,2.0353,0.53654,0.74674,0.75063,0.62161,0.77145,1.39495,2.20405,0.000220258,0.000220258,0.000220258
5,139.092,0.86807,2.37819,1.92408,0.67249,0.84532,0.87931,0.75447,0.74301,1.08673,1.99727,0.000218011,0.000218011,0.000218011
6,166.332,0.8541,2.02155,1.92824,0.74791,0.86542,0.87758,0.76251,0.69024,0.96895,1.90518,0.000215763,0.000215763,0.000215763
7,193.456,0.83495,1.77979,1.84936,0.80884,0.91502,0.94993,0.80864,0.73823,0.98712,1.924,0.000213516,0.000213516,0.000213516
8,220.637,0.81053,1.61532,1.85097,0.84493,0.93003,0.96384,0.83399,0.67597,0.81518,2.16338,0.000211269,0.000211269,0.000211269
9,247.97,0.78781,1.47208,1.7914,0.87155,0.92588,0.97698,0.8473,0.72101,0.83281,2.0078,0.000209022,0.000209022,0.000209022
10,275.061,0.78988,1.4012,1.78106,0.88222,0.88467,0.976,0.85936,0.62688,0.70021,1.72208,0.000206774,0.000206774,0.000206774
11,301.872,0.77206,1.27817,1.78355,0.87343,0.94702,0.97718,0.8492,0.70499,0.69173,2.01995,0.000204527,0.000204527,0.000204527
12,328.488,0.76804,1.20731,1.78654,0.91972,0.96552,0.99062,0.87094,0.64577,0.59398,1.97849,0.00020228,0.00020228,0.00020228
13,355.053,0.7607,1.14887,1.74262,0.86761,0.99327,0.99245,0.87398,0.60781,0.56432,1.96657,0.000200032,0.000200032,0.000200032
14,381.972,0.76135,1.09417,1.75484,0.92429,0.9262,0.98339,0.85753,0.69787,0.6394,1.77371,0.000197785,0.000197785,0.000197785
15,409.067,0.74277,1.07321,1.74389,0.93772,0.94604,0.988,0.88701,0.6356,0.55966,1.86607,0.000195538,0.000195538,0.000195538
16,435.984,0.74496,1.02629,1.74376,0.91426,0.96611,0.99154,0.87413,0.61527,0.55211,1.80927,0.00019329,0.00019329,0.00019329
17,463.134,0.73124,0.98109,1.69364,0.93724,0.97665,0.99247,0.89334,0.60493,0.49951,1.73182,0.000191043,0.000191043,0.000191043
18,490.734,0.73644,0.95742,1.73343,0.94009,0.9612,0.9923,0.88843,0.61309,0.53693,1.79448,0.000188796,0.000188796,0.000188796
19,518.112,0.72417,0.93269,1.69424,0.93955,0.97065,0.99156,0.88677,0.56959,0.47346,1.56831,0.000186549,0.000186549,0.000186549
20,544.968,0.6965,0.88875,1.68016,0.92298,0.98637,0.99127,0.89461,0.57192,0.47786,2.08928,0.000184301,0.000184301,0.000184301
21,571.861,0.70696,0.87098,1.65461,0.92322,0.97253,0.99165,0.89802,0.56639,0.48481,1.9311,0.000182054,0.000182054,0.000182054
22,599.399,0.69686,0.85771,1.67708,0.90799,0.98587,0.99043,0.89175,0.60032,0.50614,1.8131,0.000179807,0.000179807,0.000179807
