epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.3582,1.23671,4.88159,1.99773,0.40674,0.18143,0.10389,0.08852,0.75219,3.55,1.89942,7.53081e-05,7.53081e-05,7.53081e-05
2,36.8557,0.93877,3.78557,1.73352,0.3368,0.45808,0.35218,0.29557,0.74591,2.3508,1.83546,0.00014948,0.00014948,0.00014948
3,54.3906,0.94854,2.8633,1.74013,0.46929,0.62956,0.56008,0.45858,0.73499,1.73943,2.0222,0.000222154,0.000222154,0.000222154
4,71.3634,0.90363,2.25089,1.66924,0.49219,0.81907,0.73255,0.62276,0.69906,1.28429,1.84245,0.000220258,0.000220258,0.000220258
5,89.2895,0.85838,1.94734,1.6225,0.6458,0.76987,0.79811,0.69667,0.63042,1.08865,1.64042,0.000218011,0.000218011,0.000218011
6,107.221,0.85342,1.69069,1.62694,0.65667,0.86306,0.86553,0.75281,0.66558,0.97436,1.72315,0.000215763,0.000215763,0.000215763
7,125.038,0.8222,1.52896,1.59143,0.76115,0.83274,0.89373,0.78709,0.60444,0.86387,2.00069,0.000213516,0.000213516,0.000213516
8,142.455,0.81905,1.44543,1.59875,0.72802,0.93488,0.90789,0.79079,0.62161,0.82447,1.82402,0.000211269,0.000211269,0.000211269
9,160.233,0.79428,1.32752,1.56289,0.78819,0.89321,0.93317,0.8151,0.60681,0.77673,1.59839,0.000209022,0.000209022,0.000209022
10,179.525,0.7941,1.25886,1.54264,0.81324,0.93034,0.93844,0.82917,0.59045,0.77315,1.54317,0.000206774,0.000206774,0.000206774
11,196.76,0.78455,1.17373,1.56506,0.89616,0.91139,0.97474,0.85773,0.60733,0.64606,1.76085,0.000204527,0.000204527,0.000204527
12,213.719,0.759,1.12213,1.55475,0.85595,0.93535,0.98569,0.8752,0.57667,0.60975,1.83022,0.00020228,0.00020228,0.00020228
13,230.31,0.75455,1.08315,1.53915,0.8907,0.9468,0.98034,0.85362,0.58058,0.60191,1.54104,0.000200032,0.000200032,0.000200032
14,246.855,0.75198,1.02577,1.52394,0.9006,0.94827,0.97056,0.87319,0.54227,0.5683,1.46656,0.000197785,0.000197785,0.000197785
15,263.17,0.73723,1.00984,1.51593,0.93327,0.94119,0.995,0.89682,0.53712,0.51816,1.79018,0.000195538,0.000195538,0.000195538
16,280.697,0.73798,0.96573,1.51231,0.8962,0.95602,0.98522,0.87501,0.56252,0.55745,1.62758,0.00019329,0.00019329,0.00019329
