epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.7305,1.09377,5.80468,2.47557,0.30188,0.26823,0.16171,0.1288,0.97476,2.92718,2.34635,7.53081e-05,7.53081e-05,7.53081e-05
2,249.592,1.02151,3.82635,2.16355,0.48998,0.6167,0.60713,0.47191,0.93642,1.73082,2.21061,0.000147985,0.000147985,0.000147985
3,332.443,1.00742,2.70258,2.10292,0.56121,0.83362,0.79298,0.62044,0.93593,1.31569,2.10441,0.000217666,0.000217666,0.000217666
4,539.276,0.96577,2.05066,2.0998,0.68701,0.8563,0.88946,0.70719,0.83598,1.04202,2.4043,0.000213516,0.000213516,0.000213516
5,714.257,0.92216,1.68932,1.99167,0.79617,0.87955,0.9373,0.77927,0.81577,0.86137,1.99171,0.000209022,0.000209022,0.000209022
6,927.61,0.90761,1.44225,1.97343,0.88071,0.9153,0.97219,0.81279,0.7752,0.77107,1.99418,0.000204527,0.000204527,0.000204527
7,1213.6,0.8701,1.26185,1.88982,0.85933,0.96885,0.98297,0.81711,0.76377,0.67715,2.31837,0.000200032,0.000200032,0.000200032
8,1391.48,0.85679,1.17657,1.92654,0.8918,0.9075,0.97141,0.81271,0.71885,0.72544,2.22751,0.000195538,0.000195538,0.000195538
9,1600.78,0.81929,1.07923,1.8484,0.84921,0.98039,0.97588,0.8102,0.72176,0.75065,1.9914,0.000191043,0.000191043,0.000191043
10,1754.26,0.82056,1.02509,1.87411,0.93156,0.98223,0.99223,0.83965,0.73449,0.60023,1.90085,0.000186549,0.000186549,0.000186549
11,1997.23,0.80202,0.95923,1.8478,0.93655,0.97839,0.98887,0.84425,0.73316,0.58704,2.06604,0.000182054,0.000182054,0.000182054
12,2177.04,0.80496,0.93798,1.87014,0.91636,0.95964,0.98776,0.85519,0.6866,0.56892,1.88614,0.000177559,0.000177559,0.000177559
13,2390.88,0.78734,0.91304,1.81215,0.91419,0.97704,0.98671,0.84215,0.69942,0.55199,1.89539,0.000173065,0.000173065,0.000173065
14,2613.05,0.77734,0.87242,1.82522,0.94451,0.94991,0.992,0.84303,0.67786,0.54624,1.8612,0.00016857,0.00016857,0.00016857
15,2888.42,0.75725,0.8557,1.79767,0.91147,0.97783,0.98857,0.85681,0.68196,0.53704,2.07282,0.000164076,0.000164076,0.000164076
16,3006.23,0.76012,0.82606,1.78559,0.91509,0.97574,0.98692,0.86224,0.68024,0.54991,1.80829,0.000159581,0.000159581,0.000159581
17,3194.47,0.75201,0.79431,1.75332,0.9209,0.98606,0.98557,0.8498,0.64971,0.51524,2.17332,0.000155086,0.000155086,0.000155086
18,3425.7,0.75425,0.78408,1.7906,0.92285,0.97065,0.99353,0.86376,0.68526,0.54176,1.74907,0.000150592,0.000150592,0.000150592
19,3638.49,0.73489,0.77048,1.75489,0.91959,0.98805,0.98235,0.87055,0.62042,0.48405,1.72316,0.000146097,0.000146097,0.000146097
20,3880.56,0.71625,0.7396,1.74295,0.93446,0.97983,0.99417,0.88185,0.60239,0.49329,2.11437,0.000141603,0.000141603,0.000141603
21,4095.51,0.7144,0.71394,1.70047,0.94324,0.97673,0.995,0.8771,0.61562,0.50016,2.12887,0.000137108,0.000137108,0.000137108
22,4326.08,0.71547,0.72112,1.7286,0.94271,0.98496,0.99375,0.8766,0.59809,0.49182,1.75661,0.000132613,0.000132613,0.000132613
23,4693.45,0.70061,0.69673,1.71365,0.92467,0.95053,0.98856,0.87352,0.58356,0.46239,1.55362,0.000128119,0.000128119,0.000128119
24,4902.45,0.69192,0.68283,1.66797,0.91203,0.98311,0.98773,0.86738,0.60291,0.45978,1.50926,0.000123624,0.000123624,0.000123624
25,5149.28,0.67949,0.66257,1.66355,0.91121,1,0.9878,0.87035,0.62552,0.48704,1.59752,0.00011913,0.00011913,0.00011913
26,5312.34,0.68366,0.66811,1.67735,0.93018,0.99419,0.99395,0.86599,0.69018,0.50128,1.78308,0.000114635,0.000114635,0.000114635
27,5533.47,0.67603,0.65699,1.67492,0.93348,0.98999,0.98428,0.87906,0.5862,0.48374,1.85795,0.00011014,0.00011014,0.00011014
28,5615.37,0.66642,0.663,1.66113,0.94499,0.96332,0.98484,0.88738,0.56794,0.46363,1.9316,0.000105646,0.000105646,0.000105646
29,5827.55,0.6581,0.63186,1.65266,0.95323,0.98488,0.99431,0.89883,0.55826,0.46305,1.89549,0.000101151,0.000101151,0.000101151
30,5909.09,0.64691,0.60879,1.629,0.95278,0.98009,0.995,0.88892,0.61546,0.4603,1.8003,9.66566e-05,9.66566e-05,9.66566e-05
31,6064.16,0.65962,0.62764,1.68895,0.94969,0.98774,0.9941,0.90777,0.5099,0.42764,1.50782,9.2162e-05,9.2162e-05,9.2162e-05
32,6242.11,0.65145,0.61258,1.65338,0.94422,0.99004,0.99443,0.89428,0.56658,0.43483,1.8024,8.76674e-05,8.76674e-05,8.76674e-05
33,6347.5,0.65719,0.62804,1.62384,0.94725,0.99589,0.99443,0.89555,0.54153,0.41269,1.46489,8.31728e-05,8.31728e-05,8.31728e-05
34,6557.95,0.64218,0.60992,1.61271,0.93758,0.99099,0.99068,0.90924,0.52539,0.42457,1.537,7.86782e-05,7.86782e-05,7.86782e-05
35,6839.51,0.62074,0.58553,1.59835,0.95111,0.98921,0.99235,0.90084,0.55585,0.42846,2.05715,7.41836e-05,7.41836e-05,7.41836e-05
36,7048.12,0.63442,0.59314,1.61042,0.94744,0.98173,0.99375,0.89803,0.5798,0.4286,1.59774,6.9689e-05,6.9689e-05,6.9689e-05
37,7338.79,0.62078,0.57833,1.58696,0.93856,0.98429,0.99325,0.91403,0.50506,0.42524,1.59637,6.51944e-05,6.51944e-05,6.51944e-05
38,7432.94,0.60628,0.56695,1.56088,0.95137,0.99448,0.99375,0.90727,0.53989,0.41543,1.54659,6.06998e-05,6.06998e-05,6.06998e-05
39,7608.49,0.60879,0.57615,1.58594,0.9502,0.9787,0.9925,0.91362,0.50624,0.41217,1.80321,5.62052e-05,5.62052e-05,5.62052e-05
40,7732.74,0.60163,0.58215,1.60733,0.96006,0.9899,0.995,0.91426,0.47576,0.37736,1.41251,5.17106e-05,5.17106e-05,5.17106e-05
41,7835.44,0.56082,0.44382,1.30052,0.9672,0.99344,0.995,0.91955,0.48963,0.36321,1.4425,4.7216e-05,4.7216e-05,4.7216e-05
42,8428.32,0.54947,0.42814,1.28647,0.96018,0.98342,0.99467,0.91509,0.51852,0.38364,1.6888,4.27214e-05,4.27214e-05,4.27214e-05
43,8926.58,0.53837,0.41718,1.27087,0.95873,0.99065,0.99318,0.91508,0.50873,0.38435,1.84299,3.82268e-05,3.82268e-05,3.82268e-05
44,9543.2,0.54595,0.41427,1.27264,0.96076,0.98872,0.995,0.91387,0.48837,0.36928,1.43772,3.37322e-05,3.37322e-05,3.37322e-05
45,9845.26,0.531,0.40732,1.26322,0.95468,0.99111,0.995,0.92058,0.48879,0.35467,1.32849,2.92376e-05,2.92376e-05,2.92376e-05
46,10330.5,0.52844,0.40466,1.24362,0.96252,0.97739,0.99375,0.91934,0.46383,0.35801,1.34204,2.4743e-05,2.4743e-05,2.4743e-05
47,10599.2,0.52003,0.40304,1.22307,0.95902,0.99006,0.995,0.92076,0.46559,0.34552,1.3057,2.02484e-05,2.02484e-05,2.02484e-05
48,10699.7,0.51123,0.39903,1.21073,0.96169,0.9919,0.99397,0.92364,0.47196,0.37987,1.38017,1.57538e-05,1.57538e-05,1.57538e-05
49,10879.2,0.51556,0.39798,1.20364,0.9573,0.99027,0.99397,0.92619,0.45949,0.3541,1.32436,1.12592e-05,1.12592e-05,1.12592e-05
50,11048.3,0.50746,0.3982,1.20673,0.95889,0.99311,0.99431,0.92417,0.47594,0.37727,1.40145,6.7646e-06,6.7646e-06,6.7646e-06
