epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.177,1.09377,5.80468,2.47557,0.30188,0.26823,0.16171,0.1288,0.97476,2.92718,2.34635,7.53081e-05,7.53081e-05,7.53081e-05
2,266.628,1.0228,3.82274,2.16268,0.48835,0.61434,0.61988,0.48028,0.91584,1.71073,2.2239,0.00014948,0.00014948,0.00014948
3,1200.98,1.00867,2.68777,2.1022,0.54947,0.84378,0.806,0.64842,0.90804,1.2603,2.02204,0.000222154,0.000222154,0.000222154
4,1550.95,0.96052,2.04173,2.06324,0.66269,0.89624,0.90964,0.72184,0.85665,1.03315,2.30835,0.000220258,0.000220258,0.000220258
5,2101.19,0.91907,1.69321,1.99081,0.77514,0.90359,0.93731,0.77634,0.79948,0.89913,1.99189,0.000218011,0.000218011,0.000218011
6,2404.35,0.91905,1.44404,2.017,0.88275,0.92512,0.964,0.81355,0.77366,0.71119,1.89742,0.000215763,0.000215763,0.000215763
7,2919.1,0.85469,1.2601,1.89786,0.91034,0.92966,0.97684,0.79686,0.71823,0.69163,1.92861,0.000213516,0.000213516,0.000213516
8,3290.4,0.85951,1.17208,1.93446,0.82934,0.93094,0.94317,0.78203,0.7744,0.82227,2.14405,0.000211269,0.000211269,0.000211269
9,4010.03,0.82182,1.07935,1.85294,0.89669,0.96761,0.99039,0.83,0.68312,0.62765,1.74835,0.000209022,0.000209022,0.000209022
10,4314.89,0.82287,1.04012,1.88359,0.94406,0.97514,0.99294,0.85773,0.69315,0.57744,1.78358,0.000206774,0.000206774,0.000206774
11,4586.15,0.81186,0.97553,1.87109,0.9166,0.97443,0.9863,0.83862,0.77727,0.60909,1.77887,0.000204527,0.000204527,0.000204527
12,5034.14,0.81184,0.94378,1.88181,0.92657,0.96186,0.99082,0.85026,0.66396,0.5654,2.06769,0.00020228,0.00020228,0.00020228
13,5415.83,0.79478,0.91104,1.82221,0.9362,0.96764,0.99005,0.83941,0.68909,0.54043,1.91051,0.000200032,0.000200032,0.000200032
14,5831.12,0.78882,0.86445,1.84629,0.91233,0.98982,0.98776,0.84424,0.68604,0.57849,1.73273,0.000197785,0.000197785,0.000197785
15,6174.6,0.77318,0.87145,1.80378,0.9215,0.97001,0.99273,0.8567,0.68319,0.55273,2.20228,0.000195538,0.000195538,0.000195538
16,6610.76,0.77012,0.83333,1.80844,0.91667,0.97825,0.98811,0.8398,0.72591,0.60115,1.8895,0.00019329,0.00019329,0.00019329
17,6775.27,0.76985,0.80467,1.78216,0.90659,0.98576,0.97982,0.8351,0.70134,0.56994,1.95363,0.000191043,0.000191043,0.000191043
18,7086.78,0.7626,0.79246,1.79943,0.92566,0.96378,0.99295,0.86246,0.69447,0.54233,1.81225,0.000188796,0.000188796,0.000188796
19,7422.57,0.75422,0.7744,1.77662,0.92349,0.97595,0.98719,0.85803,0.62603,0.48958,1.62591,0.000186549,0.000186549,0.000186549
20,7601.28,0.72594,0.7485,1.75705,0.88954,0.99379,0.99443,0.8581,0.64896,0.54642,1.82108,0.000184301,0.000184301,0.000184301
