epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.5325,1.12785,4.7595,1.96628,0.47038,0.14208,0.09284,0.08129,0.66549,3.37257,1.92252,7.49528e-05,7.49528e-05,7.49528e-05
2,38.4827,0.88767,3.46368,1.76844,0.37316,0.57636,0.45273,0.38972,0.67015,2.01396,1.70336,0.000149128,0.000149128,0.000149128
3,84.1926,0.85288,2.368,1.65939,0.57081,0.75126,0.75242,0.64645,0.64003,1.33312,1.58939,0.000221806,0.000221806,0.000221806
4,101.991,0.82684,1.80375,1.62197,0.8249,0.77346,0.87799,0.76231,0.60443,0.94053,1.63857,0.000220258,0.000220258,0.000220258
5,119.976,0.7937,1.50994,1.59357,0.78203,0.86469,0.91939,0.80831,0.58891,0.78543,1.64411,0.000218011,0.000218011,0.000218011
6,137.579,0.76059,1.34077,1.56391,0.87373,0.88684,0.95486,0.8321,0.59686,0.70911,1.5699,0.000215763,0.000215763,0.000215763
7,155.227,0.73241,1.14856,1.52136,0.90895,0.90663,0.9815,0.88185,0.53609,0.59169,1.61196,0.000213516,0.000213516,0.000213516
8,172.867,0.73543,1.08138,1.52428,0.90096,0.93596,0.98758,0.88163,0.54061,0.59375,1.58072,0.000211269,0.000211269,0.000211269
9,190.412,0.70665,0.98366,1.46682,0.9349,0.9539,0.99235,0.8893,0.52135,0.52957,1.42081,0.000209022,0.000209022,0.000209022
10,208.112,0.71716,0.94156,1.48712,0.89974,0.95779,0.99107,0.89463,0.52178,0.49244,1.42754,0.000206774,0.000206774,0.000206774
11,225.471,0.68828,0.87161,1.46946,0.93907,0.95665,0.98999,0.8969,0.503,0.4835,1.50399,0.000204527,0.000204527,0.000204527
12,242.824,0.67931,0.84313,1.48666,0.90667,0.9697,0.98964,0.89151,0.51643,0.46285,1.51226,0.00020228,0.00020228,0.00020228
