epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.4261,1.24929,4.66238,1.74582,0.32596,0.15039,0.08785,0.07484,0.75701,3.61836,1.58148,7.53081e-05,7.53081e-05,7.53081e-05
2,38.5357,0.97914,3.53592,1.52763,0.44524,0.40155,0.36899,0.30966,0.7378,2.23491,1.57008,0.00014948,0.00014948,0.00014948
3,55.3801,0.91794,2.47055,1.47195,0.38001,0.69321,0.53877,0.45919,0.67066,1.53019,1.50568,0.000222154,0.000222154,0.000222154
4,71.8045,0.84572,1.9759,1.42187,0.46281,0.8053,0.72941,0.63247,0.62319,1.25843,1.53355,0.000220258,0.000220258,0.000220258
5,89.3299,0.79039,1.69346,1.39971,0.69486,0.71578,0.82045,0.7184,0.62147,1.14092,1.43931,0.000218011,0.000218011,0.000218011
6,106.454,0.77614,1.48975,1.40852,0.70607,0.77864,0.84903,0.76757,0.5704,0.99052,1.39704,0.000215763,0.000215763,0.000215763
7,123.726,0.74526,1.36965,1.3661,0.72182,0.82572,0.86129,0.77087,0.57414,0.92515,1.5167,0.000213516,0.000213516,0.000213516
8,140.221,0.74623,1.28657,1.40489,0.8062,0.84072,0.90374,0.81677,0.52786,0.82119,1.38033,0.000211269,0.000211269,0.000211269
9,157.696,0.72178,1.18674,1.36821,0.77331,0.90194,0.94362,0.84204,0.56863,0.73204,1.53034,0.000209022,0.000209022,0.000209022
10,176.011,0.72148,1.12339,1.36333,0.79275,0.94031,0.96387,0.87612,0.53166,0.67123,1.36261,0.000206774,0.000206774,0.000206774
11,193.439,0.70205,1.05476,1.37311,0.80398,0.91987,0.94331,0.8548,0.57536,0.67455,1.45683,0.000204527,0.000204527,0.000204527
12,210.839,0.69194,0.99894,1.37718,0.83968,0.92196,0.96893,0.87977,0.52257,0.64178,1.44104,0.00020228,0.00020228,0.00020228
13,230.205,0.69827,0.9784,1.36843,0.85717,0.93017,0.97168,0.88309,0.52912,0.58511,1.47539,0.000200032,0.000200032,0.000200032
14,249.338,0.68503,0.94904,1.35606,0.82405,0.9447,0.97462,0.88266,0.53,0.61768,1.44702,0.000197785,0.000197785,0.000197785
15,266.421,0.6755,0.91321,1.35717,0.87415,0.94828,0.98096,0.88235,0.52766,0.56718,1.38883,0.000195538,0.000195538,0.000195538
16,283.491,0.6789,0.89177,1.36485,0.8855,0.95609,0.97817,0.88952,0.52247,0.54043,1.54309,0.00019329,0.00019329,0.00019329
17,299.977,0.67098,0.86598,1.33959,0.91987,0.94387,0.98788,0.88764,0.53253,0.51764,1.5709,0.000191043,0.000191043,0.000191043
18,316.225,0.68406,0.8602,1.37737,0.91706,0.9347,0.98441,0.90316,0.50081,0.50182,1.45058,0.000188796,0.000188796,0.000188796
19,333.553,0.66846,0.81923,1.36543,0.88665,0.97259,0.98539,0.90122,0.50297,0.50214,1.49352,0.000186549,0.000186549,0.000186549
20,353.003,0.63975,0.79184,1.35998,0.92212,0.96916,0.99266,0.90315,0.50441,0.48096,1.88953,0.000184301,0.000184301,0.000184301
21,371.884,0.64362,0.7638,1.32513,0.91985,0.97844,0.99196,0.9151,0.48539,0.46381,1.88806,0.000182054,0.000182054,0.000182054
22,389.885,0.65047,0.75892,1.33544,0.93215,0.96923,0.99419,0.91257,0.48534,0.45873,1.4856,0.000179807,0.000179807,0.000179807
23,406.385,0.63424,0.75287,1.31529,0.95193,0.96494,0.98607,0.90844,0.48672,0.45032,1.9191,0.000177559,0.000177559,0.000177559
24,422.339,0.63587,0.74377,1.31642,0.91542,0.96313,0.98982,0.91144,0.49032,0.44773,1.80609,0.000175312,0.000175312,0.000175312
25,438.025,0.62845,0.71654,1.32591,0.93434,0.9808,0.99235,0.91499,0.48004,0.43256,1.84031,0.000173065,0.000173065,0.000173065
26,454.401,0.63655,0.72733,1.34454,0.94183,0.97605,0.98678,0.90468,0.49111,0.44095,1.70155,0.000170817,0.000170817,0.000170817
27,470.336,0.62585,0.69931,1.32763,0.92789,0.96667,0.9924,0.91397,0.4767,0.42254,1.9129,0.00016857,0.00016857,0.00016857
28,486.585,0.61459,0.6992,1.31547,0.93499,0.9786,0.99105,0.91134,0.4713,0.4425,1.71543,0.000166323,0.000166323,0.000166323
29,503.258,0.61474,0.68512,1.32317,0.93926,0.98097,0.995,0.90907,0.46904,0.41942,1.30334,0.000164076,0.000164076,0.000164076
30,520.489,0.60788,0.66588,1.32413,0.93545,0.9767,0.99355,0.92283,0.45698,0.41719,1.29402,0.000161828,0.000161828,0.000161828
31,537.18,0.6073,0.67211,1.32975,0.93455,0.98013,0.99333,0.92248,0.44832,0.40897,1.30345,0.000159581,0.000159581,0.000159581
32,554.535,0.60726,0.66325,1.32026,0.93124,0.9796,0.99257,0.91418,0.46993,0.43029,1.37716,0.000157334,0.000157334,0.000157334
33,571.138,0.61722,0.67858,1.30297,0.94242,0.98364,0.995,0.91438,0.46609,0.42553,1.34332,0.000155086,0.000155086,0.000155086
34,589.805,0.59718,0.65235,1.30481,0.9365,0.98884,0.9945,0.92334,0.45194,0.40946,1.2663,0.000152839,0.000152839,0.000152839
35,607.882,0.59559,0.64255,1.30702,0.94657,0.97414,0.99285,0.91696,0.4658,0.42165,1.82345,0.000150592,0.000150592,0.000150592
36,624.552,0.60183,0.6578,1.32046,0.92576,0.97713,0.99415,0.91338,0.46886,0.41373,1.86967,0.000148344,0.000148344,0.000148344
37,642.04,0.60269,0.64162,1.31373,0.93437,0.98674,0.995,0.9204,0.45167,0.39863,1.8484,0.000146097,0.000146097,0.000146097
38,658.72,0.58426,0.61968,1.29729,0.94391,0.98086,0.995,0.91923,0.47742,0.39728,1.29036,0.00014385,0.00014385,0.00014385
39,674.886,0.5919,0.62009,1.30024,0.94478,0.98484,0.995,0.92847,0.44643,0.38853,1.48609,0.000141603,0.000141603,0.000141603
40,691.08,0.59003,0.63782,1.33735,0.94866,0.98188,0.995,0.93097,0.42932,0.38486,1.29261,0.000139355,0.000139355,0.000139355
41,710.504,0.58913,0.60989,1.30665,0.94373,0.98499,0.995,0.92227,0.44743,0.39046,1.30561,0.000137108,0.000137108,0.000137108
42,728.117,0.5889,0.61124,1.30788,0.93432,0.98729,0.995,0.91717,0.4506,0.38496,1.26516,0.000134861,0.000134861,0.000134861
43,745.448,0.57399,0.58821,1.30808,0.94364,0.9778,0.99443,0.92514,0.43721,0.38457,1.26052,0.000132613,0.000132613,0.000132613
