epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.9753,1.11397,4.71161,1.9967,0.36083,0.25001,0.11125,0.09279,0.66424,3.19201,1.87375,7.53081e-05,7.53081e-05,7.53081e-05
2,42.5715,0.91964,3.3434,1.76065,0.41177,0.59803,0.50272,0.42071,0.71753,1.88845,1.72286,0.00014948,0.00014948,0.00014948
3,62.9444,0.8865,2.37144,1.67466,0.5237,0.7836,0.74336,0.64072,0.61614,1.25627,1.56517,0.000222154,0.000222154,0.000222154
4,82.1648,0.83971,1.84888,1.62082,0.72302,0.82796,0.8793,0.75528,0.66678,0.95383,1.77624,0.000220258,0.000220258,0.000220258
5,101.249,0.80061,1.57845,1.56685,0.74695,0.93367,0.9139,0.7953,0.60663,0.77881,1.79333,0.000218011,0.000218011,0.000218011
6,120.173,0.78035,1.35345,1.56721,0.83476,0.92495,0.95106,0.83723,0.57667,0.68889,1.58365,0.000215763,0.000215763,0.000215763
7,139.501,0.75681,1.23115,1.53048,0.87999,0.9128,0.97327,0.85492,0.59198,0.66344,2.02585,0.000213516,0.000213516,0.000213516
8,159.362,0.75253,1.13938,1.54224,0.90785,0.92552,0.97965,0.86676,0.55478,0.60385,1.47182,0.000211269,0.000211269,0.000211269
9,178.573,0.73751,1.05897,1.49948,0.91594,0.94503,0.98516,0.87574,0.5536,0.57225,1.4709,0.000209022,0.000209022,0.000209022
10,196.994,0.72487,1.00006,1.49543,0.92472,0.95124,0.99152,0.88928,0.57388,0.57491,1.50285,0.000206774,0.000206774,0.000206774
11,215.805,0.70403,0.92206,1.49915,0.91309,0.97561,0.99443,0.89213,0.52739,0.49854,1.47492,0.000204527,0.000204527,0.000204527
12,234.585,0.69459,0.8842,1.50853,0.945,0.95957,0.99179,0.89093,0.61513,0.50242,1.60179,0.00020228,0.00020228,0.00020228
13,253.001,0.69618,0.87707,1.49029,0.89772,0.98241,0.9903,0.88443,0.54418,0.4798,1.46367,0.000200032,0.000200032,0.000200032
14,271.416,0.69215,0.83998,1.48639,0.89441,0.96211,0.98864,0.8927,0.51897,0.49575,1.47709,0.000197785,0.000197785,0.000197785
15,289.443,0.67146,0.82415,1.47023,0.91472,0.99087,0.99443,0.90837,0.50848,0.4298,1.55859,0.000195538,0.000195538,0.000195538
16,307.344,0.67345,0.79456,1.47058,0.90947,0.97598,0.98982,0.89618,0.56818,0.47921,1.59412,0.00019329,0.00019329,0.00019329
17,325.893,0.6677,0.79105,1.4626,0.92169,0.98018,0.99189,0.89912,0.55292,0.48514,1.45228,0.000191043,0.000191043,0.000191043
18,344.111,0.67245,0.76252,1.47487,0.94638,0.9558,0.99386,0.90087,0.52373,0.46116,1.44044,0.000188796,0.000188796,0.000188796
19,361.8,0.6559,0.75302,1.46296,0.92864,0.98314,0.98533,0.89838,0.53105,0.4674,1.43009,0.000186549,0.000186549,0.000186549
20,379.765,0.62997,0.71773,1.43936,0.91664,0.97746,0.99357,0.88446,0.54846,0.4818,1.5339,0.000184301,0.000184301,0.000184301
21,398.114,0.64036,0.7101,1.43395,0.94509,0.98154,0.99237,0.91255,0.49203,0.42625,1.45203,0.000182054,0.000182054,0.000182054
22,417.645,0.64536,0.69686,1.43767,0.95503,0.97873,0.99297,0.90438,0.51259,0.4326,1.66965,0.000179807,0.000179807,0.000179807
23,436.289,0.61954,0.69051,1.41871,0.93911,0.99059,0.99135,0.88612,0.51181,0.43258,1.66993,0.000177559,0.000177559,0.000177559
24,454.764,0.62933,0.69733,1.4111,0.95094,0.97131,0.98706,0.91673,0.49282,0.42184,1.6767,0.000175312,0.000175312,0.000175312
25,473.09,0.61626,0.66568,1.40772,0.92745,0.98196,0.98602,0.89485,0.51715,0.43968,1.73475,0.000173065,0.000173065,0.000173065
26,491.487,0.63051,0.66666,1.4317,0.94526,0.97998,0.99294,0.9089,0.48851,0.42125,1.67311,0.000170817,0.000170817,0.000170817
27,510.2,0.62071,0.65779,1.42016,0.94158,0.96837,0.99294,0.91431,0.48735,0.42227,1.53588,0.00016857,0.00016857,0.00016857
28,529.007,0.59509,0.64773,1.40881,0.95069,0.98885,0.995,0.90951,0.49284,0.41071,1.76867,0.000166323,0.000166323,0.000166323
29,547.311,0.60238,0.63629,1.41287,0.9293,0.99703,0.995,0.91157,0.46497,0.3957,1.79376,0.000164076,0.000164076,0.000164076
30,565.246,0.59986,0.62464,1.40026,0.93754,0.98226,0.98915,0.9156,0.44967,0.38197,1.41892,0.000161828,0.000161828,0.000161828
31,583.38,0.61031,0.63435,1.43156,0.95471,0.98679,0.995,0.92664,0.44588,0.36725,1.35355,0.000159581,0.000159581,0.000159581
32,601.901,0.60762,0.63006,1.41692,0.90133,0.98948,0.98698,0.89877,0.4856,0.40965,1.31734,0.000157334,0.000157334,0.000157334
33,619.774,0.61312,0.63772,1.40885,0.94693,0.97973,0.99417,0.91416,0.44723,0.38243,1.25203,0.000155086,0.000155086,0.000155086
34,637.609,0.59413,0.60949,1.39742,0.9333,0.98102,0.99456,0.92548,0.45567,0.38552,1.6555,0.000152839,0.000152839,0.000152839
35,656.369,0.58609,0.59715,1.39152,0.9593,0.97799,0.99417,0.91912,0.47196,0.38827,1.75398,0.000150592,0.000150592,0.000150592
36,674.963,0.59091,0.60954,1.40393,0.94843,0.98258,0.99443,0.93072,0.44655,0.37855,1.71776,0.000148344,0.000148344,0.000148344
37,693.774,0.58903,0.5978,1.39799,0.94854,0.97479,0.98984,0.92267,0.44635,0.38612,1.69827,0.000146097,0.000146097,0.000146097
38,711.839,0.56937,0.5816,1.37565,0.94898,0.9896,0.995,0.92512,0.46952,0.38764,1.5695,0.00014385,0.00014385,0.00014385
39,729.768,0.57669,0.58545,1.37889,0.94357,0.97482,0.98895,0.93013,0.4341,0.39084,1.65506,0.000141603,0.000141603,0.000141603
40,747.989,0.5766,0.59206,1.4123,0.95191,0.98195,0.99417,0.92053,0.41988,0.34984,1.2739,0.000139355,0.000139355,0.000139355
41,768.058,0.57282,0.5706,1.38982,0.95198,0.98968,0.995,0.92665,0.42698,0.33543,1.26273,0.000137108,0.000137108,0.000137108
